species,conservation_status,growth_rate,dispersal_ability,biomass,sensitivity_disturbance,interation_pollinator
Abies_alba,1,0.015,0.5,1,0.2,0.00189916
Acer_campestre,1,0.015,0.5,0.744548155,0.2,0.039876398
Acer_opalus,1,0.015,0.5,0.744548155,0.2,0.013077704
Acer_platanoides,1,0.015,0.5,0.873690278,0.2,0.014319242
Acer_pseudoplatanus,1,0.015,0.5,0.935022039,0.2,0.024292911
Aceras_anthropophorum,2,0.08,0.666666667,0.009105105,0.4,0.042002576
Achillea_atrata,1,0.06,0.01,0.001765199,0.2,0.004728283
Achillea_macrophylla,1,0.06,0.166666667,0.035335246,0.2,0.004702731
Achillea_millefolium,1,0.08,0.833333333,0.024437882,0.2,0.097469978
Achillea_millefolium_millefolium,1,0.08,0.833333333,0.024437882,0.2,0.015131054
Achillea_nana,1,0.06,0.01,0.001264931,0.2,0.004746982
Achillea_nobilis,2,0.06,0.166666667,0.01642195,0.4,0.004702731
Achillea_ptarmica,3,0.06,0.166666667,0.05126911,0.6,0.005720586
Achillea_roseoalba,1,0.06,0.833333333,0.017170589,0.2,0.004702731
Achillea_setacea,1,0.06,1,0.011559675,0.2,0.004702731
Achillea_tomentosa,2,0.06,0.01,0.007973837,0.4,0.004702731
Achnatherum_calamagrostis,1,0.06,0.333333333,0.040180318,0.2,0
Acinos_alpinus,1,0.08,0.833333333,0.001331281,0.2,0.107961903
Acinos_arvensis,1,0.08,1,0.012211624,0.2,0.009133682
Aconitum_lycoctonum,1,0.06,0.01,0.073282129,0.2,0.075340735
Aconitum_lycoctonum_neapolitanum,1,0.06,0.01,0.073282129,0.2,0.072497101
Aconitum_napellus,1,0.06,0.01,0.054367727,0.2,0.056847769
Aconitum_napellus_lusitanicum,1,0.06,0.01,0.054367727,0.2,0.072497101
Aconitum_variegatum,1,0.06,0.01,0.094307331,0.2,0.085302798
Aconitum_variegatum_paniculatum,1,0.06,0.01,0.094307331,0.2,0.072497101
Actaea_spicata,1,0.06,0.833333333,0.018705313,0.2,0.005747126
Adenostyles_alliariae,1,0.06,0.666666667,0.073282129,0.2,0.002348559
Adenostyles_alpina,1,0.06,0.666666667,0.048197645,0.2,0.001512717
Adenostyles_leucophylla,1,0.06,0.01,0.009105105,0.2,0.001519907
Adonis_aestivalis,3,0.23,1,0.012211624,0.6,0.028678951
Adonis_flammea,4,0.23,0.166666667,0.009105105,0.8,0.028678951
Adonis_vernalis,3,0.06,0.01,0.006403288,0.6,0.028678951
Adoxa_moschatellina,1,0.08,0.833333333,0.001045317,0.2,0.067110387
Aegopodium_podagraria,1,0.08,1,0.047180742,0.2,0.050799706
Aethusa_cynapioides,2,0.08,0.166666667,0.032504675,0.4,0.001771447
Aethusa_cynapium,1,0.08,1,0.054367727,0.2,0.007060171
Agrimonia_eupatoria,1,0.06,0.833333333,0.038224666,0.2,0.002943024
Agrimonia_procera,3,0.06,0.833333333,0.06799774,0.6,0.001921671
Agrostemma_githago,4,0.23,0.833333333,0.035335246,0.8,0.003445977
Agrostis_alpina,1,0.06,0.333333333,0.002665945,0.2,0.018489756
Agrostis_canina,2,0.06,0.833333333,0.017931812,0.4,0.018489756
Agrostis_capillaris,1,0.06,0.833333333,0.01642195,0.2,0.018489756
Agrostis_gigantea,1,0.06,0.833333333,0.062727773,0.2,0.018489756
Agrostis_rupestris,1,0.06,0.333333333,0.001045317,0.2,0.018489756
Agrostis_schleicheri,1,0.06,0.333333333,0.005443613,0.2,0.018489756
Agrostis_schraderiana,1,0.06,0.333333333,0.009105105,0.2,0.018489756
Agrostis_stolonifera,1,0.06,0.833333333,0.031575435,0.2,0.018489756
Aira_caryophyllea,3,0.23,0.833333333,0.003364672,0.6,0.072145923
Ajuga_chamaepitys,3,0.08,1,0.002345869,0.6,0.018508421
Ajuga_genevensis,1,0.06,1,0.004990749,0.2,0.019421592
Ajuga_pyramidalis,1,0.06,0.333333333,0.002665945,0.2,0.018508421
Ajuga_reptans,1,0.06,0.333333333,0.003364672,0.2,0.042096964
Alchemilla_alpigena,1,0.08,0.01,0.001045317,0.2,0.000937031
Alchemilla_alpina,1,0.08,0.833333333,0.001264931,0.2,0.104494438
Alchemilla_conjuncta,1,0.08,0.333333333,0.00300561,0,0.000937031
Alchemilla_coriacea,1,0.06,0.333333333,0.002045563,0.2,0.000937031
Alchemilla_fissa,1,0.06,0.333333333,0.002045563,0.2,0.00099141
Alchemilla_monticola,1,0.06,0.01,0.006403288,0,0.000937031
Alchemilla_nitida,1,0.08,0.01,0.001045317,0.2,0.000993477
Alchemilla_pentaphyllea,1,0.08,0.833333333,0.000510062,0.2,0.000993477
Alchemilla_xanthochlora,1,0.06,0.666666667,0.009695175,0.2,0.000993477
Alisma_gramineum,4,0.08,0.166666667,0.010301155,0.8,0.25
Alisma_lanceolatum,4,0.08,0.833333333,0.020287917,0.8,0.25
Alliaria_petiolata,1,0.06,1,0.026168938,0.2,0.037055077
Allium_angulosum,3,0.08,0.166666667,0.0128783,0.6,0.012103662
Allium_carinatum,2,0.08,0.166666667,0.010922753,0.4,0.012280117
Allium_carinatum_carinatum,2,0.08,0.166666667,0.010922753,0.4,0.018975001
Allium_lineare,3,0.08,0.01,0.010922753,0.6,0.012280117
Allium_lusitanicum,1,0.08,0.166666667,0.011559675,0.2,0.051329557
Allium_oleraceum,1,0.08,1,0.022746245,0.2,0.012280117
Allium_schoenoprasum,1,0.08,0.166666667,0.010922753,0.2,0.008646078
Allium_scorodoprasum,2,0.08,1,0.035335246,0.4,0.012005043
Allium_sphaerocephalon,1,0.08,0.166666667,0.028834322,0.2,0.018462643
Allium_ursinum,1,0.08,0.333333333,0.009695175,0.2,0.044777443
Allium_victorialis,1,0.08,0.166666667,0.021915951,0.2,0.012280117
Allium_vineale,1,0.08,0.166666667,0.024437882,0.2,0.012280117
Alnus_glutinosa,1,0.015,0.5,0.823585307,0.2,0.40103271
Alnus_incana,1,0.015,0.5,0.744548155,0.2,0.33419319
Alnus_viridis,1,0.015,0.5,0.234951749,0.2,0.001721183
Alopecurus_aequalis,3,0.08,0.833333333,0.006403288,0.6,0.019302525
Alopecurus_geniculatus,3,0.08,0.833333333,0.009695175,0.6,0.019302525
Alopecurus_myosuroides,1,0.23,0.833333333,0.014254622,0.2,0.019302525
Alopecurus_pratensis,1,0.06,0.333333333,0.033441232,0.2,0.019302525
Alyssoides_utriculata,2,0.08,0.166666667,0.007943203,0.4,0.001579786
Alyssum_alyssoides,1,0.23,0.01,0.002045563,0.2,0.001668355
Alyssum_montanum,2,0.015,0.01,0.002045563,0.4,0.001753065
Amaranthus_blitum,1,0.23,1,0.023586988,0.2,0.004996023
Amelanchier_ovalis,1,0.015,0.833333333,0.19805829,0.2,0.000937031
Anacamptis_pyramidalis,2,0.08,0.666666667,0.013559401,0.4,0.09917324
Anacamptis_pyramidalis_pyramidalis,2,0.08,0.666666667,0.013559401,0.4,0.09917324
Anagallis_arvensis,1,0.23,0.5,0.003364672,0.2,0.010760036
Anagallis_foemina,3,0.23,1,0.002345869,0.6,0.001715266
Anagallis_minima,5,0.23,0.01,0.000257237,1,0.001715266
Anchusa_arvensis,2,0.23,0.333333333,0.010922753,0.4,0.005999556
Anchusa_officinalis,2,0.06,0.333333333,0.027937071,0.4,0.011963786
Andromeda_polifolia,2,0.015,0.01,0.005505205,0.4,0.513888889
Androsace_alpina,1,0.08,0.01,6.31E-06,0.2,0.038411836
Androsace_chamaejasme,1,0.06,0.01,5.76E-05,0.2,0.06069464
Androsace_helvetica,1,0.08,0.01,2.65E-05,0.2,0.038411836
Androsace_lactea,2,0.06,0.01,0.000226289,0.4,0.038411836
Androsace_obtusifolia,1,0.06,0.833333333,0.000257237,0.2,0.038411836
Androsace_puberula,1,0.06,0.01,0.000162272,0.2,0.038411836
Androsace_pubescens,2,0.08,0.01,8.84E-05,0.4,0.038411836
Androsace_septentrionalis,4,0.23,0.01,0.001504938,0.8,0.016129032
Androsace_vandellii,1,0.08,0.01,8.84E-05,0.2,0.038411836
Androsace_vitaliana,1,0.08,0.01,0.000846225,0,0.038411836
Anemone_baldensis,1,0.06,0.01,0.002045563,0.2,0.017272208
Anemone_narcissiflora,1,0.06,0.333333333,0.00300561,0.2,0.017272208
Anemone_nemorosa,1,0.08,0.333333333,0.00300561,0.2,0.017272208
Anemone_ranunculoides,1,0.08,0.333333333,0.00300561,0.2,0.017272208
Angelica_sylvestris,1,0.08,0.333333333,0.083839128,0.2,0.079264345
Antennaria_carpatica,1,0.06,0.333333333,0.001765199,0.2,0.001575927
Antennaria_dioica,1,0.08,0.666666667,0.001765199,0.2,0.009553517
Anthemis_arvensis,3,0.23,0.5,0.010301155,0.6,0.003307127
Anthemis_tinctoria,1,0.08,1,0.010922753,0.2,0.001512717
Anthericum_liliago,1,0.06,0.166666667,0.017931812,0.2,0.007212381
Anthericum_ramosum,1,0.06,0.01,0.02529863,0.2,0.007212381
Anthoxanthum_alpinum,1,0.06,0.333333333,0.007433201,0.2,0.028571429
Anthoxanthum_odoratum,1,0.06,1,0.0128783,0.2,0.028571429
Anthriscus_caucalis,3,0.23,0.833333333,0.019490783,0.6,0.027165453
Anthriscus_cerefolium,3,0.23,0.166666667,0.01642195,0.6,0.001771447
Anthriscus_nitida,1,0.06,0.166666667,0.019490783,0.2,0.001771447
Anthriscus_sylvestris,1,0.06,0.833333333,0.065887153,0.2,0.154179323
Anthyllis_vulneraria,1,0.06,0.833333333,0.006403288,0.2,0.010010568
Anthyllis_vulneraria_alpestris,1,0.06,0.666666667,0.002345869,0.2,0.010010568
Apera_interrupta,4,0.23,0.833333333,0.005443613,0.8,0.072145923
Aphanes_arvensis,1,0.23,0.833333333,0.001765199,0.2,0.009246938
Aphanes_australis,2,0.23,0.833333333,0.000667772,0.4,0.000937031
Aposeris_foetida,1,0.06,0.333333333,0.00300561,0.2,0.001539418
Aquilegia_alpina,2,0.06,0.166666667,0.020287917,0.4,0.002287716
Aquilegia_atrata,1,0.06,0.01,0.017931812,0.2,0.002287716
Aquilegia_vulgaris,1,0.06,0.01,0.02529863,0.2,0.002287716
Arabidopsis_thaliana,1,0.23,1,0.004556192,0.2,0.001734727
Arabis_alpina,1,0.08,0.01,0.004556192,0.2,0.009919086
Arabis_alpina_alpina,1,0.08,0.01,0.005443613,0.2,0.002283734
Arabis_alpina_caucasica,1,0.08,0.01,0.005443613,0.2,0.002283734
Arabis_auriculata,2,0.23,1,0.004556192,0.4,0.001507017
Arabis_bellidifolia,1,0.06,1,0.015686204,0.2,0.001507017
Arabis_bellidifolia_stellulata,1,0.06,1,0.015686204,0.2,0.002283734
